Identifiant station;Nom de la Station;Nom de la ligne;Niveau de pollution;Recommandation de surveillance;stop_lon;stop_lat;pollution_air
IDFM:monomodalStopPlace:43081;Etréchy;RER C;station aérienne;non;2.19476923819822;48.4938774215009;station aérienne
IDFM:monomodalStopPlace:47906;Evry - Courcouronnes;RER D;MOYENNE;non;2.43003290952145;48.6258879466349;pollution moyenne - incertitude faible
IDFM:monomodalStopPlace:43125;Fontenay-aux-Roses;RER B;station aérienne;non;2.29290838204553;48.7875669821564;station aérienne
IDFM:monomodalStopPlace:43044;Gagny;RER E;station aérienne;non;2.52540460169451;48.8837287316045;station aérienne
IDFM:21981;Gare d'Austerlitz;Métro 5;station aérienne;non;2.36560788076254;48.8422977966282;station aérienne
IDFM:463024;Gare d'Austerlitz;Métro 10;MOYENNE;non;2.36439539460064;48.84228236698;pollution moyenne - incertitude forte
IDFM:463197;Gare de Lyon;Métro 1;MOYENNE;non;2.37312501677669;48.845759486714;pollution moyenne - incertitude forte
IDFM:22084;George V;Métro 1;FAIBLE;non;2.30075978497892;48.8720377645891;pollution faible - incertitude forte
IDFM:22173;Glacière;Métro 6;station aérienne;non;2.34349749271799;48.8311702352458;station aérienne
IDFM:monomodalStopPlace:47876;Goussainville;RER D;station aérienne;non;2.46256580793126;49.023410758267;station aérienne
IDFM:monomodalStopPlace:43131;Gretz-Armainvilliers;RER E;station aérienne;non;2.7271677383399;48.7464553998024;station aérienne
IDFM:monomodalStopPlace:58718;Haussmann Saint-Lazare;RER E;FAIBLE;non;2.32864617974209;48.8749988620012;pollution faible - incertitude faible
IDFM:463188;Havre-Caumartin;Métro 9;MOYENNE;non;2.3276772082794;48.8737568325288;pollution moyenne - incertitude forte
IDFM:490839;Hôpital Bicêtre;Métro 14;pas de données;non;2.34994653323916;48.809971090726;pas de données
IDFM:24680;Jaurès;Métro 7B;MOYENNE;non;2.37045173400456;48.8823442302082;pollution moyenne - incertitude forte
IDFM:monomodalStopPlace:43136;Jouy-en-Josas;RER C;station aérienne;non;2.16444783685501;48.7647600683785;station aérienne
IDFM:463065;Jules Joffrin;Métro 12;FAIBLE;oui;2.34432002938048;48.8924922682019;pollution faible - incertitude forte
IDFM:monomodalStopPlace:411418;La Borne Blanche;RER D;station aérienne;non;2.50699086841941;49.1261949449139;station aérienne
IDFM:22101;La Défense (Grande Arche);Métro 1;FAIBLE;non;2.23798818309883;48.891817866461;pollution faible - incertitude forte
IDFM:463194;La Motte-Picquet - Grenelle;Métro 6;station aérienne;non;2.29895709697701;48.8487654481223;station aérienne
IDFM:21929;La Muette;Métro 9;MOYENNE;non;2.27409624466972;48.8580919668987;pollution moyenne - incertitude forte
IDFM:monomodalStopPlace:43145;La Plaine Stade de France;RER B;station aérienne;non;2.36245991660493;48.918076675621;station aérienne
